"alpha","alpha_ci_lower","alpha_ci_upper","omega","omega_ci_lower","omega_ci_upper","true_omega","coverage_alpha","coverage_omega","bias_alpha","bias_omega","loading_type","n","n_items"
0.93066785796786,0.887998484923932,0.951581673209478,0.932085779227539,0.89592631819095,0.956581387378686,0.94571524682533,1,1,0.0150473888574697,0.0136294675977912,"low_var",50,18
0.957401213229333,0.941741222897654,0.969535844234147,0.958026769607232,0.940533647292941,0.972089419741567,0.94571524682533,1,1,-0.0116859664040027,-0.0123115227819015,"low_var",50,18
0.949742359045244,0.920127081350471,0.962655744302309,0.951302955759144,0.925447601581246,0.966445708690021,0.94571524682533,1,1,-0.00402711221991359,-0.00558770893381355,"low_var",50,18
0.943182285847993,0.911723712394994,0.9557203635337,0.945647813367915,0.923654961406322,0.96119958986969,0.94571524682533,1,1,0.00253296097733746,6.74334574145563e-05,"low_var",50,18
0.9217917485292,0.870430704731895,0.948617815151383,0.922766752756818,0.85899669679625,0.946227036253561,0.94571524682533,1,1,0.0239234982961296,0.0229484940685116,"low_var",50,18
0.950806959246265,0.922707998186695,0.965544841424881,0.953057397703752,0.930442004107256,0.969111026863153,0.94571524682533,1,1,-0.00509171242093531,-0.00734215087842216,"low_var",50,18
0.93588111539864,0.900699223624835,0.955983530586725,0.937215572256193,0.902679231552034,0.958728656554777,0.94571524682533,1,1,0.00983413142668965,0.00849967456913681,"low_var",50,18
0.925294987250107,0.872278405926924,0.947754624507973,0.928335271677836,0.891138359556228,0.956549275725211,0.94571524682533,1,1,0.0204202595752229,0.0173799751474937,"low_var",50,18
0.93751624080501,0.893931411711293,0.955578017078526,0.938627528866245,0.895908859980347,0.953513464266434,0.94571524682533,1,1,0.00819900602032031,0.00708771795908492,"low_var",50,18
0.935499199211686,0.907997899570065,0.955281999606972,0.936505738243094,0.900057645250786,0.957996915946077,0.94571524682533,1,1,0.0102160476136437,0.00920950858223579,"low_var",50,18
0.93828593976555,0.889020816379914,0.959580537967363,0.940602653750354,0.897700665546215,0.963142020655792,0.94571524682533,1,1,0.00742930705978051,0.00511259307497569,"low_var",50,18
0.928092522188107,0.872379017337558,0.956969454566992,0.929688889204294,0.885273097243558,0.955206770573458,0.94571524682533,1,1,0.0176227246372234,0.016026357621036,"low_var",50,18
0.943134003226294,0.908234424402244,0.961425987257339,0.944216504447156,0.921567347763674,0.964573184128819,0.94571524682533,1,1,0.00258124359903622,0.00149874237817382,"low_var",50,18
0.961994707479039,0.942316419316962,0.975653521369089,0.962515270763596,0.943929194724406,0.972897352769791,0.94571524682533,1,1,-0.0162794606537092,-0.016800023938266,"low_var",50,18
0.927445755520075,0.878972373033714,0.951928377893053,0.930438565073574,0.897280914172075,0.94846249192721,0.94571524682533,1,1,0.0182694913052547,0.0152766817517564,"low_var",50,18
0.95910448251058,0.940764386378182,0.970241424879207,0.960431661479597,0.941663681803898,0.971507627826116,0.94571524682533,1,1,-0.0133892356852504,-0.0147164146542665,"low_var",50,18
0.93717043354191,0.905229422123855,0.95903495701098,0.939307330378275,0.906116708479658,0.960059259464052,0.94571524682533,1,1,0.00854481328342016,0.00640791644705507,"low_var",50,18
0.956591283689445,0.926025678968849,0.968387688364038,0.958103529167438,0.933581699071911,0.973641008667568,0.94571524682533,1,1,-0.0108760368641154,-0.0123882823421078,"low_var",50,18
0.919718727748008,0.877552704602043,0.941256092362911,0.922634447868566,0.88644553456687,0.949347154442644,0.94571524682533,0,1,0.0259965190773223,0.0230807989567636,"low_var",50,18
